chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1000,416,744,1784,M
1002,411,732,1727,M
992,405,778,1719,M
993,407,724,1781,M
1051,412,830,1713,L
987,408,784,1749,S
1018,399,663,1619,M
1044,416,937,1822,M
1122,440,1008,1952,XL
1213,447,1042,1800,2XL
946,397,692,1708,S
1144,425,910,1749,XL
1097,414,835,1705,L
1114,433,994,1836,XL
942,408,645,1825,S
964,393,613,1653,S
1057,424,836,1725,L
1254,472,1180,1835,3XL
1034,408,859,1728,M
1071,414,778,1735,L
1005,413,749,1710,M
1058,422,880,1751,L
998,397,722,1750,S
1012,404,750,1785,M
1099,426,969,1763,L
1080,431,907,1763,L
1122,418,858,1750,L
1115,445,927,1803,XL
1137,430,910,1725,XL
1002,407,666,1598,M
1272,455,1208,1737,3XL
1097,422,804,1721,L
1087,433,951,1818,L
1081,430,880,1735,L
1074,432,819,1793,L
1174,430,972,1722,XL
1153,438,945,1850,XL
1133,438,912,1719,XL
1003,420,761,1740,M
1114,418,902,1731,L
1011,404,782,1710,M
1116,421,1018,1803,L
1116,440,847,1744,XL
1083,427,867,1803,L
1054,429,867,1897,L
1068,433,914,1768,L
1003,405,771,1652,M
1071,411,872,1772,L
1107,415,894,1788,L
968,383,607,1662,S
1161,430,1029,1899,XL
999,419,681,1700,M
1059,414,816,1773,L
1105,420,863,1718,L
1073,428,942,1744,L
1154,426,958,1761,XL
996,396,872,1710,S
914,389,649,1671,XS
1057,425,871,1758,L
1106,432,942,1804,L
1055,419,837,1731,L
1172,427,1019,1725,XL
1084,413,831,1709,L
1094,412,862,1740,L
1122,445,926,1747,XL
1038,417,808,1725,M
1153,428,972,1745,XL
1067,428,823,1736,L
947,393,659,1825,S
1049,416,878,1742,M
1232,450,1114,1747,3XL
947,408,698,1708,S
1089,427,883,1757,L
1010,410,793,1800,M
1174,444,1009,1723,2XL
1203,448,1161,1808,2XL
1163,431,1034,1761,XL
1163,433,959,1800,XL
