chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
887,348,549,1562,M
961,366,692,1611,L
1004,394,713,1740,XL
971,370,699,1650,L
920,361,593,1619,M
902,369,695,1704,M
970,360,797,1689,L
926,360,677,1647,M
1117,412,882,1717,3XL
943,354,634,1531,M
981,374,765,1666,L
892,364,654,1574,M
975,382,652,1617,L
889,368,542,1670,M
983,377,814,1651,L
883,344,563,1525,S
1152,404,967,1715,3XL
855,353,502,1570,S
923,353,597,1562,M
897,368,720,1627,M
990,363,673,1608,L
906,352,784,1672,M
1010,377,630,1574,XL
1046,380,793,1670,XL
846,351,590,1617,S
991,370,699,1705,L
878,337,573,1620,S
876,357,603,1661,S
1062,378,767,1646,XL
932,356,667,1522,M
850,349,518,1505,S
1004,363,690,1613,L
859,354,646,1578,S
880,345,540,1480,S
825,351,431,1552,S
985,374,746,1559,L
1016,391,727,1674,XL
902,352,655,1597,M
992,370,702,1600,L
1021,380,931,1827,XL
824,350,532,1594,S
945,365,655,1629,L
975,362,691,1672,L
1013,391,965,1783,XL
923,368,660,1595,M
1009,376,814,1708,XL
782,337,503,1568,XS
885,348,547,1555,M
833,356,604,1631,S
870,348,616,1585,S
872,330,548,1518,S
838,357,604,1590,S
930,361,640,1599,M
845,342,669,1665,S
1007,391,791,1712,XL
908,364,598,1634,M
975,383,736,1628,L
996,372,863,1748,L
995,368,725,1635,L
964,365,764,1691,L
969,379,699,1672,L
914,349,654,1675,M
820,348,538,1508,S
882,333,577,1631,S
909,349,598,1533,M
786,332,488,1496,XS
897,352,583,1546,M
906,366,685,1685,M
933,364,648,1574,M
841,352,564,1659,S
936,383,665,1652,L
945,359,649,1593,M
927,367,680,1615,M
909,368,712,1662,M
939,366,612,1644,L
933,353,722,1652,M
989,365,672,1627,L
930,358,605,1615,M
877,333,621,1623,S
830,355,609,1595,S
798,339,470,1480,XS
955,376,786,1696,L
942,380,787,1709,L
844,350,638,1587,S
888,351,752,1691,M
958,383,782,1623,L
803,329,540,1546,XS
914,354,619,1682,M
848,349,577,1519,S
867,354,673,1631,S
909,359,608,1525,M
958,365,648,1732,L
910,363,667,1611,M
1057,377,749,1607,XL
909,366,697,1702,M
965,376,669,1657,L
945,372,831,1730,L
943,358,735,1695,M
948,375,763,1598,L
975,367,700,1644,L
923,348,626,1575,M
881,352,607,1642,S
986,363,705,1615,L
896,349,633,1607,M
823,345,564,1626,S
883,348,618,1657,S
869,334,634,1584,S
946,367,751,1758,L
895,355,582,1636,M
876,345,664,1594,S
962,369,757,1694,L
910,368,632,1606,M
898,358,616,1603,M
921,356,584,1559,M
951,378,751,1672,L
936,375,739,1708,L
888,361,645,1598,M
908,358,650,1720,M
956,367,849,1714,L
855,357,609,1590,S
900,355,654,1643,M
848,344,609,1592,S
902,364,701,1574,M
930,362,689,1617,M
931,357,736,1679,M
920,368,660,1598,M
1025,383,776,1685,XL
945,368,675,1674,L
890,367,604,1653,M
1112,390,717,1645,2XL
917,355,574,1642,M
824,337,426,1409,S
889,351,585,1620,M
983,367,740,1688,L
976,369,765,1606,L
1029,376,852,1658,XL
915,348,671,1590,M
1015,393,754,1654,XL
945,378,663,1583,L
843,350,480,1523,S
1096,386,830,1685,2XL
974,373,756,1672,L
1032,388,784,1641,XL
847,339,517,1529,S
897,354,613,1556,M
1015,380,729,1630,XL
924,362,701,1614,M
737,327,426,1464,XS
937,364,719,1631,L
1004,390,794,1704,XL
950,374,800,1620,L
917,357,625,1575,M
868,354,578,1573,S
980,378,749,1657,L
945,380,650,1538,L
857,338,633,1684,S
885,334,526,1550,S
994,365,766,1630,L
1202,400,934,1693,3XL
982,370,667,1557,L
922,369,646,1636,M
889,347,525,1547,S
792,312,490,1629,XS
908,364,772,1625,M
964,365,643,1573,L
972,361,693,1547,L
1003,378,725,1670,XL
1035,384,816,1678,XL
980,372,804,1684,L
933,367,706,1666,M
